document_id,overall_baseline,overall_candidate,overall_delta,nid_baseline,nid_candidate,nid_delta,teds_baseline,teds_candidate,teds_delta,mhs_baseline,mhs_candidate,mhs_delta
01030000000078,0.47442311431408213,0.47442311431408213,0.0,0.700228832951945,0.700228832951945,0.0,0.2486173956762192,0.2486173956762192,0.0,,,
01030000000079,0.5957549445248432,0.8691015701464561,0.2733466256216128,0.8581765557163531,0.9885931558935361,0.13041660017718304,,,,0.33333333333333337,0.749609984399376,0.4162766510660426
01030000000080,0.5598930481283422,0.8663262510510057,0.3064332029226635,0.7864527629233511,0.9843081312410843,0.1978553683177332,,,,0.33333333333333337,0.7483443708609272,0.41501103752759383
01030000000081,0.9623415361670395,0.9623415361670395,0.0,0.9246830723340791,0.9246830723340791,0.0,1.0,1.0,0.0,,,
01030000000082,0.9476323208370014,0.9476323208370014,0.0,0.8960109103307193,0.8960109103307193,0.0,0.9992537313432835,0.9992537313432835,0.0,,,
01030000000083,0.9452537023549406,0.9452537023549406,0.0,0.890507404709881,0.890507404709881,0.0,1.0,1.0,0.0,,,
01030000000084,0.9533083059596434,0.9533083059596434,0.0,0.9066166119192868,0.9066166119192868,0.0,1.0,1.0,0.0,,,
01030000000085,0.8008021390374331,0.8008021390374331,0.0,0.8863636363636364,0.8863636363636364,0.0,,,,0.7152406417112299,0.7152406417112299,0.0
01030000000086,0.6239320704432477,0.6239320704432477,0.0,0.9813035121439805,0.9813035121439805,0.0,,,,0.26656062874251496,0.26656062874251496,0.0
01030000000087,0.9847222222222223,0.9847222222222223,0.0,0.9847222222222223,0.9847222222222223,0.0,,,,,,
01030000000088,0.920331285081513,0.920331285081513,0.0,0.8408352668213456,0.8408352668213456,0.0,0.9998273033416804,0.9998273033416804,0.0,,,
01030000000089,0.9239157069345749,0.9239157069345749,0.0,0.8478314138691497,0.8478314138691497,0.0,1.0,1.0,0.0,,,
01030000000090,0.9241058744191917,0.9241058744191917,0.0,0.848441247002398,0.848441247002398,0.0,0.9997705018359853,0.9997705018359853,0.0,,,
