document_id,base_overall,new_overall,delta,base_nid,new_nid,base_teds,new_teds,base_mhs,new_mhs
01030000000144,0.8873785671,0.8873785671,0.0000000000,0.8922048998,0.8922048998,,,0.8825522345,0.8825522345
01030000000145,0.9282217207,0.9282217207,0.0000000000,0.9059420723,0.9059420723,,,0.9505013692,0.9505013692
01030000000146,0.7339405879,0.7339405879,0.0000000000,0.9333824071,0.9333824071,0.3978260870,0.3978260870,0.8706132697,0.8706132697
01030000000147,0.5887853717,0.7700623142,0.1812769424,0.7425169506,0.7558372248,0.7042916009,0.9001427819,0.3195475638,0.6542069358
01030000000148,0.6008621451,0.4112961622,-0.1895659829,0.8208092486,0.8225923244,,,0.3809150416,0.0000000000
01030000000149,0.9650423729,0.9657824934,0.0007401205,0.9300847458,0.9315649867,1.0000000000,1.0000000000,,
01030000000150,0.7051708806,0.7410411058,0.0358702252,0.8499308437,0.8642407278,0.5962424035,0.6624915595,0.6693393944,0.6963910301
01030000000151,0.7894110186,0.9894889565,0.2000779379,0.9845938375,0.9866666667,,,0.5942281996,0.9923112463
01030000000152,0.8961836136,0.8976209570,0.0014373434,0.8961836136,0.8976209570,,,,
01030000000153,0.7342293169,0.9481717267,0.2139424098,0.9197544897,0.9210106988,,,0.5487041442,0.9753327546
01030000000154,0.7386250754,0.8951239110,0.1564988356,0.9244332494,0.9261829653,,,0.5528169014,0.8640648567
01030000000155,0.7336427152,1.0000000000,0.2663572848,0.6413793103,1.0000000000,,,0.8259061200,1.0000000000
01030000000156,0.7410016904,0.7410016904,0.0000000000,0.9227002448,0.9227002448,,,0.5593031359,0.5593031359
01030000000157,0.7515224892,0.9422766250,0.1907541358,0.6940194715,0.9283727399,,,0.8090255069,0.9561805101
01030000000158,0.9568906819,0.9568906819,0.0000000000,0.9538891476,0.9538891476,,,0.9598922161,0.9598922161
01030000000159,0.9946194053,0.9946194053,0.0000000000,0.9929078014,0.9929078014,,,0.9963310092,0.9963310092
01030000000160,0.9915756630,0.9915756630,0.0000000000,0.9915756630,0.9915756630,,,,
01030000000161,0.9951721918,0.9951721918,0.0000000000,0.9951721918,0.9951721918,,,,
01030000000162,0.9809859155,0.9809859155,0.0000000000,0.9809859155,0.9809859155,,,,
01030000000163,0.7554878338,0.7887836282,0.0332957943,0.8926426426,0.8939849624,,,0.6183330250,0.6835822939
01030000000164,0.9980180577,0.9983478357,0.0003297780,0.9980180577,0.9983478357,,,,
